,num__Age,num__Weight (kg),num__Height (m),num__Resting_BPM,num__Session_Duration (hours),num__Fat_Percentage,num__Water_Intake (liters),num__Workout_Frequency (days/week),num__Experience_Level,num__BMI,cat__Gender_Female,cat__Gender_Male,cat__Workout_Type_Cardio,cat__Workout_Type_HIIT,cat__Workout_Type_Strength,cat__Workout_Type_Yoga
967,-1.5415127331803196,-0.875872762451073,-0.9715586121831894,0.6477365522283739,-0.4175253490988873,-0.1656642789491495,0.9411727015877115,0.7309960716945422,0.24940450108744586,-0.4677105574630674,0.0,1.0,0.0,0.0,0.0,1.0
365,0.025673670609310632,-0.5886501364229544,-0.5860600037123536,0.10840256057420003,-1.009454066721008,0.40408835952204797,-1.5468713799904465,-0.37502002876513624,-1.1052746235242203,-0.3329412621529753,1.0,0.0,0.0,1.0,0.0,0.0
559,1.2629260946537555,0.18069618329521997,-0.04636195185318095,-0.2960979331664304,-0.8614718873154781,0.21417081336498178,-1.215132169113359,-0.37502002876513624,-1.1052746235242203,0.2355087142190787,1.0,0.0,1.0,0.0,0.0,0.0
33,-1.2115787534351343,-0.6758427193243476,-1.665456107430697,0.7825700501419174,-0.6542968361477357,1.0529733088920223,-0.21991453648209575,-1.4810361292248146,-1.1052746235242203,0.2838874356124446,1.0,0.0,1.0,0.0,0.0,0.0
31,-1.5415127331803196,-0.34245931411313824,-1.5883563857365295,-1.644432912301865,-0.6838932720288418,0.4673942082410697,-0.717523352797727,0.7309960716945422,0.24940450108744586,0.7123846822394034,1.0,0.0,0.0,0.0,0.0,1.0
870,-1.6239962281166158,-0.3988780442258048,-0.7402594471006886,-0.7005984269070609,1.8022073419840645,-1.1152520097344782,0.11182467439499223,1.8370121721542205,1.6040836256991122,0.002254164643919451,1.0,0.0,1.0,0.0,0.0,0.0
192,-1.6239962281166158,-0.35271726504271406,-1.5883563857365295,1.1870705438825477,-0.09196455440672135,0.8788822249147124,-0.38578414192063976,-0.37502002876513624,-1.1052746235242203,0.6968343789343929,1.0,0.0,1.0,0.0,0.0,0.0
312,1.2629260946537555,0.32430749630927985,1.3414330386418325,1.3219040417960912,-1.3350148614131743,-0.5613258334430364,1.7705207287804308,-1.4810361292248146,-1.1052746235242203,-0.4262430819830394,0.0,1.0,0.0,0.0,0.0,1.0
483,1.1804425997174592,-1.0092261245355567,-1.2028577772656919,1.1870705438825477,0.2335962402854452,0.5148735947803362,-0.717523352797727,-0.37502002876513624,0.24940450108744586,-0.5057224099864265,1.0,0.0,0.0,1.0,0.0,0.0
551,-0.7166777838173563,2.119448908985021,1.418532760336,-1.1050989206476913,0.026421189117702856,-0.45054059818474823,1.7705207287804308,-0.37502002876513624,-1.1052746235242203,1.190988461738063,0.0,1.0,0.0,1.0,0.0,0.0
557,-1.3765457433077268,0.7243675825627305,1.3414330386418325,-0.5657649289935174,1.920593085508488,-2.1123191270590738,1.4387815179033427,1.8370121721542205,1.6040836256991122,-0.05303580266278496,0.0,1.0,0.0,0.0,1.0,0.0
635,-0.386743804072171,-0.9169045661693755,-1.5883563857365295,-0.2960979331664304,-0.3879289132177819,0.942188073633734,-0.717523352797727,-0.37502002876513624,-1.1052746235242203,-0.1256038847528341,1.0,0.0,1.0,0.0,0.0,0.0
109,1.5103765794626445,0.32430749630927985,-0.8173591687948544,-1.3747659164747783,-0.7430861437910539,1.0529733088920223,-1.049262563674815,0.7309960716945422,0.24940450108744586,0.9819232728595876,1.0,0.0,0.0,0.0,1.0,0.0
408,0.6030581351633849,1.8835160376047801,-0.663159725406521,0.10840256057420003,0.4111748555720809,-0.7195904552405913,1.2729119124647987,-0.37502002876513624,-1.1052746235242203,2.809947816937501,0.0,1.0,0.0,0.0,1.0,0.0
77,1.5928600743989407,-0.30655648585962403,0.18493721322932158,-0.7005984269070609,-1.8677507072730828,0.024253267207916145,-1.3810017745519025,-1.4810361292248146,-1.1052746235242203,-0.45043244267972266,1.0,0.0,1.0,0.0,0.0,0.0
928,-1.1290952584988379,-0.42452292154974397,-0.35476083862985097,0.6477365522283739,-0.9206647590776901,1.037146846712267,-1.215132169113359,-1.4810361292248146,-1.1052746235242203,-0.274195671889602,1.0,0.0,1.0,0.0,0.0,0.0
541,0.10815716554560696,0.24737286433746236,1.4956324820301676,0.7825700501419174,-0.3879289132177819,-0.4188876738252374,1.7705207287804308,0.7309960716945422,0.24940450108744586,-0.5748348691198073,0.0,1.0,0.0,0.0,0.0,1.0
82,-1.2115787534351343,0.042213845745949115,0.2620369349234891,0.7825700501419174,-1.1870326820076442,0.9105351492742232,-1.8786105908675341,-0.37502002876513624,-1.1052746235242203,-0.11350920440449248,1.0,0.0,0.0,0.0,0.0,1.0
361,1.0154756098448665,0.30892056991491573,-1.665456107430697,1.5915710376231782,-1.009454066721008,0.9580145358134897,-0.054044931043551764,-0.37502002876513624,-1.1052746235242203,1.7387047003701033,1.0,0.0,0.0,0.0,1.0,0.0
793,0.35560765035449593,0.03195589481637331,0.5704358217001592,-1.644432912301865,-1.3942077331753864,1.2270643928693323,-0.883392958236271,-0.37502002876513624,-1.1052746235242203,-0.3018406555429542,1.0,0.0,1.0,0.0,0.0,0.0
506,1.5928600743989407,-1.4298021126481586,-1.2028577772656919,-0.4309314310799739,-0.5359110926233115,1.084626233251533,-0.5516537473591837,-0.37502002876513624,-1.1052746235242203,-1.081083632271819,1.0,0.0,0.0,1.0,0.0,0.0
789,1.0979591047811628,-1.245158995915797,1.0330341518651642,0.6477365522283739,-0.7430861437910539,-0.05487904369086125,0.2776942798335355,-0.37502002876513624,0.24940450108744586,-1.791214149867303,0.0,1.0,0.0,0.0,0.0,1.0
499,0.8505086199722739,-1.173353339408767,-1.4341569423481944,0.10840256057420003,0.056017624998808906,0.8947086870944675,-0.883392958236271,-0.37502002876513624,0.24940450108744586,-0.5938407953814868,1.0,0.0,0.0,1.0,0.0,0.0
398,-1.7064797230529123,-0.7168745230426501,-0.8944588904890218,1.1870705438825477,1.890996649627382,-1.542566488587876,0.11182467439499223,0.7309960716945422,1.6040836256991122,-0.30702408997795794,1.0,0.0,0.0,0.0,0.0,1.0
2,-0.5517107939447636,-0.20397697656386737,-0.508960282018186,-1.1050989206476913,-0.44712178497999333,1.3220231659478654,-0.5516537473591837,0.7309960716945422,0.24940450108744586,0.09037255003897979,1.0,0.0,1.0,0.0,0.0,0.0
101,-1.1290952584988379,-1.5836713765917936,-0.8173591687948544,0.24323605848774352,0.6775427785020354,0.6098323678588687,-0.883392958236271,0.7309960716945422,0.24940450108744586,-1.4663855919404152,1.0,0.0,0.0,0.0,0.0,1.0
363,0.8505086199722739,-0.09626849180332248,1.2643333169476652,-1.5095994143883216,-1.6605756561053409,0.7206176031171576,-0.054044931043551764,-0.37502002876513624,-1.1052746235242203,-0.7839000579982833,0.0,1.0,0.0,0.0,0.0,1.0
450,-0.139293319263282,-0.13217132005683743,-1.7425558291248646,0.5129030543148304,-1.690172091986447,1.2270643928693323,-0.38578414192063976,-1.4810361292248146,-1.1052746235242203,1.1581600436497077,1.0,0.0,1.0,0.0,0.0,0.0
286,-0.7991612787536526,2.7605708420835,2.1124302555835075,0.6477365522283739,0.29278911204765734,-0.05487904369086125,0.7753030961491675,0.7309960716945422,0.24940450108744586,1.2601009208714438,0.0,1.0,0.0,0.0,1.0,0.0
208,0.9329921149085703,-1.3682544070707048,-0.4318605603240185,-0.026430937339343444,0.3223855479287634,-0.14983781676939378,0.2776942798335355,0.7309960716945422,0.24940450108744586,-1.366172526197013,0.0,1.0,0.0,0.0,0.0,1.0
265,1.0979591047811628,-0.46042574980325857,-1.4341569423481944,0.6477365522283739,0.29278911204765734,1.5435936364644418,-1.3810017745519025,-0.37502002876513624,0.24940450108744586,0.4186567309225367,1.0,0.0,0.0,0.0,1.0,0.0
5,1.4278930845263482,-0.7220034985074381,-0.35476083862985097,1.5915710376231782,0.9735071373130958,-1.5109135642283653,0.11182467439499223,1.8370121721542205,1.6040836256991122,-0.628397024948177,1.0,0.0,0.0,1.0,0.0,0.0
54,-1.6239962281166158,0.04734282121073665,0.49333610000599165,-0.16126443525288692,-1.3350148614131743,0.4199148217018031,-1.7127409854289901,-0.37502002876513624,-1.1052746235242203,-0.24309506527958083,1.0,0.0,0.0,1.0,0.0,0.0
670,0.5205746402270885,-1.086160756507374,-0.5860600037123536,-1.644432912301865,0.5591570349776112,0.799749914015935,-0.5516537473591837,-1.4810361292248146,-1.1052746235242203,-0.9480421484400617,1.0,0.0,0.0,0.0,1.0,0.0
847,0.6855416300996813,-1.5631554747326424,-1.1257580555715243,0.7825700501419174,-0.6838932720288418,0.2458237377244932,-0.883392958236271,0.7309960716945422,0.24940450108744586,-1.3005156900203019,1.0,0.0,0.0,0.0,0.0,1.0
762,-0.22177681419957834,2.5554118234919865,1.5727322037243352,-1.1050989206476913,0.6775427785020354,-0.5138464469037699,1.2729119124647987,-0.37502002876513624,0.24940450108744586,1.4760773556632572,0.0,1.0,1.0,0.0,0.0,0.0
971,-0.5517107939447636,2.786215719407439,0.8017349867826616,-0.026430937339343444,-0.4767182208610994,0.49904713260058053,-0.883392958236271,-0.37502002876513624,0.24940450108744586,2.341710906308848,0.0,1.0,0.0,1.0,0.0,0.0
97,1.5928600743989407,1.6116803379710252,-0.508960282018186,-0.16126443525288692,0.20399980440433915,-0.0707055058706164,0.7753030961491675,-0.37502002876513624,-1.1052746235242203,2.310610299698827,0.0,1.0,1.0,0.0,0.0,0.0
588,-1.5415127331803196,2.4836061669849565,0.030737769840986567,0.6477365522283739,-0.7430861437910539,0.673138216577891,1.2729119124647987,-0.37502002876513624,0.24940450108744586,2.7771193988491443,0.0,1.0,1.0,0.0,0.0,0.0
204,-1.2940622483714306,0.6012721714078223,2.0353305338893404,1.1870705438825477,1.5654358549352163,-2.2231043623173616,1.4387815179033427,0.7309960716945422,1.6040836256991122,-0.5230005247697718,0.0,1.0,1.0,0.0,0.0,0.0
244,-1.3765457433077268,1.9707086205061735,1.4956324820301676,-0.9702654227341477,-0.29913960557446373,-0.7670698417798578,1.1070423070262547,-0.37502002876513624,0.24940450108744586,1.0009291991212672,0.0,1.0,0.0,1.0,0.0,0.0
774,-0.7991612787536526,0.6576909015204889,-0.04636195185318095,-1.5095994143883216,1.5654358549352163,-1.7008311103854308,1.4387815179033427,0.7309960716945422,1.6040836256991122,0.7797693298944495,0.0,1.0,0.0,0.0,0.0,1.0
933,0.6855416300996813,1.3398446383372702,1.3414330386418325,0.24323605848774352,-1.4829970408187045,-0.33975536292645997,0.6094334907106235,-0.37502002876513624,-1.1052746235242203,0.5205976081442728,0.0,1.0,0.0,1.0,0.0,0.0
518,-0.7991612787536526,0.7192386070979423,-0.5860600037123536,1.1870705438825477,1.1806821884808376,-2.191451437957851,1.4387815179033427,0.7309960716945422,1.6040836256991122,1.2860180930464613,0.0,1.0,0.0,1.0,0.0,0.0
334,0.43809114529079224,-1.5016077691551886,0.41623637831182414,0.24323605848774352,0.6775427785020354,0.04007972938767185,-0.054044931043551764,-0.37502002876513624,0.24940450108744586,-1.844776305695673,1.0,0.0,0.0,0.0,1.0,0.0
844,-1.2940622483714306,2.2938340747878065,0.49333610000599165,0.9174035480554609,-0.7726825796721599,0.277476662084004,1.2729119124647987,0.7309960716945422,0.24940450108744586,2.1188232256036965,0.0,1.0,0.0,0.0,1.0,0.0
25,0.2731241554181996,-0.4296518970145315,-0.12346167354734845,-0.026430937339343444,0.470367727334293,0.1666914268257158,-1.3810017745519025,-0.37502002876513624,0.24940450108744586,-0.41587621311303197,1.0,0.0,0.0,0.0,0.0,1.0
84,0.19064066048190328,0.0011820420276458796,0.8017349867826616,-0.5657649289935174,-0.3879289132177819,-0.5771522956227921,0.2776942798335355,-0.37502002876513624,0.24940450108744586,-0.45907150007139474,0.0,1.0,0.0,0.0,0.0,1.0
519,-1.0466117635625416,0.08324564946425161,-0.508960282018186,1.3219040417960912,-0.9798576308399018,0.2616501999042483,-0.717523352797727,-1.4810361292248146,-1.1052746235242203,0.44284609161921995,0.0,1.0,0.0,0.0,0.0,1.0
650,0.6855416300996813,-1.4708339163664614,-0.8173591687948544,0.24323605848774352,-2.222907937846355,0.04007972938767185,-0.5516537473591837,-0.37502002876513624,-1.1052746235242203,-1.3212494277603162,1.0,0.0,1.0,0.0,0.0,0.0
448,0.8505086199722739,1.7245177981963578,-0.663159725406521,-0.4309314310799739,-0.18075386205003952,0.7047911409374018,0.7753030961491675,-0.37502002876513624,0.24940450108744586,2.611249496929031,0.0,1.0,1.0,0.0,0.0,0.0
357,-0.7991612787536526,1.1859753743936354,1.0330341518651642,-1.3747659164747783,-1.8381542713919767,0.2458237377244932,-0.21991453648209575,-1.4810361292248146,-1.1052746235242203,0.5758875754509772,0.0,1.0,0.0,0.0,0.0,1.0
629,0.5205746402270885,0.07298769853467581,0.10783749153515408,-1.644432912301865,-0.2399467338122516,0.7839234518361793,-0.5516537473591837,0.7309960716945422,0.24940450108744586,0.01607665647059586,1.0,0.0,1.0,0.0,0.0,0.0
528,-0.7991612787536526,1.7655496019146601,0.6475355433943266,-0.2960979331664304,0.08561406087991495,0.10338557810669353,-0.21991453648209575,0.7309960716945422,0.24940450108744586,1.4380655031398981,0.0,1.0,1.0,0.0,0.0,0.0
467,-1.6239962281166158,1.3603605401964212,-0.20056139524151598,1.5915710376231782,-1.2758219896509624,-0.6246316821620582,-0.38578414192063976,-1.4810361292248146,-1.1052746235242203,1.7162431511517542,0.0,1.0,1.0,0.0,0.0,0.0
247,-1.0466117635625416,-0.06036566354980751,-0.508960282018186,0.7825700501419174,-1.3350148614131743,0.6098323678588687,-1.5468713799904465,-0.37502002876513624,-1.1052746235242203,0.2666093208290999,1.0,0.0,0.0,1.0,0.0,0.0
118,-1.7064797230529123,1.0423640613795762,0.10783749153515408,-1.644432912301865,0.44077129145318694,-0.5929787578025473,0.7753030961491675,-1.4810361292248146,-1.1052746235242203,1.0942310189513307,0.0,1.0,0.0,0.0,0.0,1.0
342,1.4278930845263482,-1.3836413334650681,0.030737769840986567,1.4567375397096347,-1.2758219896509624,0.05590619156742699,-0.054044931043551764,-0.37502002876513624,-1.1052746235242203,-1.575237715075489,1.0,0.0,0.0,0.0,1.0,0.0
787,-1.7064797230529123,-0.45529677433847066,-0.7402594471006886,1.4567375397096347,-1.7789613996297646,0.3882618973422923,-0.717523352797727,-0.37502002876513624,-1.1052746235242203,-0.06858610596779553,0.0,1.0,1.0,0.0,0.0,0.0
250,-0.22177681419957834,1.4270372212386635,2.0353305338893404,1.4567375397096347,0.20399980440433915,-0.6562846065215696,-0.21991453648209575,-0.37502002876513624,-1.1052746235242203,0.1802187469123743,0.0,1.0,0.0,0.0,0.0,1.0
318,-0.05680982432698569,-0.5527473081694397,1.8811310905010052,-1.5095994143883216,0.3223855479287634,-0.2447965898479269,0.2776942798335355,-0.37502002876513624,-1.1052746235242203,-1.4491074771570698,0.0,1.0,1.0,0.0,0.0,0.0
497,0.19064066048190328,0.4884347111824899,1.1101338735593318,-0.4309314310799739,1.8022073419840645,-2.349716059755406,1.4387815179033427,1.8370121721542205,1.6040836256991122,-0.14806543397118319,0.0,1.0,0.0,1.0,0.0,0.0
196,0.8505086199722739,-0.19371902563429155,-1.5883563857365295,-0.2960979331664304,0.5591570349776112,0.6889646787576461,-1.3810017745519025,0.7309960716945422,0.24940450108744586,0.9283611170312174,1.0,0.0,0.0,0.0,1.0,0.0
587,-1.7064797230529123,0.5704983186190956,1.8040313688068377,0.6477365522283739,1.6838215984596405,-1.8116163456437193,1.4387815179033427,0.7309960716945422,1.6040836256991122,-0.43660995085304627,0.0,1.0,0.0,1.0,0.0,0.0
81,0.2731241554181996,-0.6450688665356206,0.10783749153515408,-1.3747659164747783,1.5358394190541103,-1.368475404610566,0.11182467439499223,1.8370121721542205,1.6040836256991122,-0.7839000579982833,1.0,0.0,0.0,0.0,0.0,1.0
352,-0.139293319263282,-0.9784522717468296,-0.12346167354734845,-1.644432912301865,-0.3879289132177819,0.4832206704208254,-1.5468713799904465,0.7309960716945422,0.24940450108744586,-1.046527402705129,1.0,0.0,0.0,0.0,0.0,1.0
602,1.0979591047811628,-0.0757525899441716,-0.27766111693568346,0.378069556401287,0.29278911204765734,0.1666914268257158,-0.717523352797727,-0.37502002876513624,-1.1052746235242203,0.09210036151731396,1.0,0.0,0.0,1.0,0.0,0.0
239,-0.4692272990084673,0.3294364717740674,-0.508960282018186,0.9174035480554609,0.08561406087991495,1.2270643928693323,-1.215132169113359,0.7309960716945422,0.24940450108744586,0.7434852888494247,1.0,0.0,0.0,1.0,0.0,0.0
689,-1.4590292382440233,0.7448834844218815,1.0330341518651642,-0.5657649289935174,0.3223855479287634,-0.5138464469037699,-0.054044931043551764,-0.37502002876513624,0.24940450108744586,0.1456625173456842,0.0,1.0,0.0,1.0,0.0,0.0
211,-0.4692272990084673,0.3037915944501282,-0.12346167354734845,-0.5657649289935174,-0.5359110926233115,0.19834435118522664,-0.883392958236271,-0.37502002876513624,-1.1052746235242203,0.4290235997925441,1.0,0.0,1.0,0.0,0.0,0.0
822,-1.4590292382440233,0.026826919351585037,-0.35476083862985097,1.0522370459690042,-0.21035029793114554,1.4486348633859099,-1.3810017745519025,-0.37502002876513624,0.24940450108744586,0.2648815093507651,1.0,0.0,1.0,0.0,0.0,0.0
549,1.3454095895900517,-0.4399098479441073,1.0330341518651642,-1.2399324185612348,0.29278911204765734,-0.33975536292645997,0.44356388527207946,0.7309960716945422,0.24940450108744586,-1.0085155501817693,0.0,1.0,0.0,0.0,1.0,0.0
898,-0.9641282686262452,1.6527121416893278,-0.35476083862985097,-0.026430937339343444,0.056017624998808906,0.7364440652969128,1.4387815179033427,-0.37502002876513624,0.24940450108744586,2.205213799520422,0.0,1.0,1.0,0.0,0.0,0.0
227,-0.30426030913587465,-0.32194341225398737,-0.8173591687948544,0.9174035480554609,-0.7726825796721599,1.385329014666887,-1.8786105908675341,0.7309960716945422,0.24940450108744586,0.1525737632590221,1.0,0.0,1.0,0.0,0.0,0.0
832,-0.22177681419957834,-0.6194239892116814,-0.04636195185318095,-1.5095994143883216,1.0918928808375195,-1.0835990853749673,0.11182467439499223,1.8370121721542205,1.6040836256991122,-0.6750479348632086,1.0,0.0,0.0,0.0,1.0,0.0
751,-1.1290952584988379,-0.7373904249018014,-1.1257580555715243,-1.3747659164747783,0.29278911204765734,0.10338557810669353,-0.717523352797727,-0.37502002876513624,0.24940450108744586,-0.18607728649454225,1.0,0.0,0.0,0.0,0.0,1.0
896,-1.3765457433077268,-0.5271024308455006,-1.5883563857365295,-0.16126443525288692,1.6838215984596405,-1.273516631532033,0.11182467439499223,1.8370121721542205,1.6040836256991122,0.44284609161921995,1.0,0.0,0.0,0.0,0.0,1.0
892,-1.5415127331803196,0.6987227052387914,1.4956324820301676,-0.5657649289935174,1.358260803767474,-2.302236673216139,1.4387815179033427,1.8370121721542205,1.6040836256991122,-0.161887925797859,0.0,1.0,1.0,0.0,0.0,0.0
380,0.6855416300996813,0.837205042788063,-0.9715586121831894,-0.2960979331664304,1.7726109061029585,-1.7166575725651865,1.4387815179033427,1.8370121721542205,1.6040836256991122,1.78708342176347,0.0,1.0,0.0,1.0,0.0,0.0
903,-0.139293319263282,-0.26552468214132074,0.18493721322932158,-1.644432912301865,0.3519819838098688,0.22999727554473748,-0.883392958236271,0.7309960716945422,0.24940450108744586,-0.4055093442430251,1.0,0.0,0.0,0.0,1.0,0.0
296,-0.05680982432698569,-0.6655847683947719,-0.04636195185318095,0.7825700501419174,-0.5655075285044175,0.9896674601730006,-1.5468713799904465,-0.37502002876513624,0.24940450108744586,-0.7268822792132441,1.0,0.0,1.0,0.0,0.0,0.0
344,1.6753435693352372,0.8884947974359413,-0.8173591687948544,-0.4309314310799739,0.499964163215399,-0.2447965898479269,1.6046511233418868,-0.37502002876513624,0.24940450108744586,1.7058762822817481,0.0,1.0,0.0,0.0,1.0,0.0
7,0.10815716554560696,-0.12191336912726164,-1.665456107430697,0.24323605848774352,0.026421189117702856,0.8788822249147124,-1.215132169113359,-0.37502002876513624,0.24940450108744586,1.1028700763430033,1.0,0.0,1.0,0.0,0.0,0.0
155,0.2731241554181996,-0.4706837007328344,1.9582308121951726,-0.16126443525288692,0.470367727334293,0.5465265191398471,1.2729119124647987,0.7309960716945422,0.24940450108744586,-1.4076400016770418,0.0,1.0,0.0,0.0,0.0,1.0
525,-0.4692272990084673,-0.6707137438595597,-0.4318605603240185,-0.9702654227341477,-1.06864693848322,1.3695025524871325,-1.215132169113359,-0.37502002876513624,-1.1052746235242203,-0.5230005247697718,1.0,0.0,1.0,0.0,0.0,0.0
753,1.5103765794626445,-0.39374906876101656,-1.2799574989598594,1.4567375397096347,0.7663320861453535,-1.1469049340939892,0.11182467439499223,1.8370121721542205,1.6040836256991122,0.39273955874751926,1.0,0.0,1.0,0.0,0.0,0.0
451,0.19064066048190328,-0.30655648585962403,-0.27766111693568346,0.7825700501419174,-1.4534006049375985,0.3724354351625366,1.2729119124647987,-1.4810361292248146,-1.1052746235242203,-0.1808938520595385,0.0,1.0,0.0,0.0,0.0,1.0
836,-1.2940622483714306,-0.35271726504271406,-0.8173591687948544,-0.4309314310799739,0.3223855479287634,0.9580145358134897,-0.21991453648209575,-0.37502002876513624,0.24940450108744586,0.11283409925732826,1.0,0.0,1.0,0.0,0.0,0.0
757,0.8505086199722739,-0.7322614494370139,2.0353305338893404,0.6477365522283739,-0.9798576308399018,-0.05487904369086125,0.7753030961491675,-0.37502002876513624,-1.1052746235242203,-1.6564448545572112,0.0,1.0,0.0,1.0,0.0,0.0
684,-0.05680982432698569,-0.8091960814088314,-0.9715586121831894,-1.2399324185612348,-0.15115742616893346,0.5940059056791136,-1.215132169113359,0.7309960716945422,0.24940450108744586,-0.37959217206800766,1.0,0.0,0.0,0.0,0.0,1.0
432,-0.9641282686262452,-0.13217132005683743,0.2620369349234891,0.5129030543148304,-0.9502611949587961,1.4802877877454201,-1.049262563674815,-0.37502002876513624,-1.1052746235242203,-0.3018406555429542,1.0,0.0,0.0,0.0,1.0,0.0
935,-0.05680982432698569,-1.3785123580002803,-0.35476083862985097,-0.5657649289935174,-0.7430861437910539,0.7680969896564236,-0.38578414192063976,-0.37502002876513624,0.24940450108744586,-1.4128234361120449,1.0,0.0,0.0,1.0,0.0,0.0
908,-1.0466117635625416,-1.0348710018594958,2.1124302555835075,-1.1050989206476913,-1.5125934766998106,0.2458237377244932,-0.5516537473591837,-1.4810361292248146,-1.1052746235242203,-1.9380781255257364,0.0,1.0,0.0,1.0,0.0,0.0
388,-0.386743804072171,1.0218481595204245,0.2620369349234891,1.4567375397096347,-1.5717863484620227,-0.46636706036450337,1.4387815179033427,-0.37502002876513624,-1.1052746235242203,0.9525504777279006,0.0,1.0,0.0,0.0,0.0,1.0
514,1.1804425997174592,-0.20397697656386737,-1.357057220654027,0.378069556401287,0.44077129145318694,0.1666914268257158,-0.717523352797727,0.7309960716945422,0.24940450108744586,0.719295928152742,1.0,0.0,0.0,1.0,0.0,0.0
583,0.5205746402270885,-1.5836713765917936,-1.1257580555715243,1.1870705438825477,0.6183499067398233,0.5781794434993579,-0.054044931043551764,-1.4810361292248146,-1.1052746235242203,-1.328160673673654,1.0,0.0,0.0,1.0,0.0,0.0
926,0.025673670609310632,1.5501326323935711,1.6498319254185025,-1.644432912301865,-1.098243374364326,-0.33975536292645997,-0.38578414192063976,-0.37502002876513624,-1.1052746235242203,0.5171419851876039,0.0,1.0,0.0,0.0,0.0,1.0
850,0.7680251250359775,-0.15268722191598907,-0.9715586121831894,-1.2399324185612348,0.2335962402854452,0.1666914268257158,-1.049262563674815,0.7309960716945422,0.24940450108744586,0.48431356709924794,1.0,0.0,0.0,0.0,1.0,0.0
423,0.35560765035449593,1.2218782026471504,0.9559344301709967,0.24323605848774352,0.056017624998808906,0.4199148217018031,1.2729119124647987,-1.4810361292248146,-1.1052746235242203,0.6622781493677028,0.0,1.0,0.0,0.0,0.0,1.0
228,1.5103765794626445,-0.18346107470471576,-1.2799574989598594,0.7825700501419174,0.5591570349776112,0.6414852922183801,-1.7127409854289901,0.7309960716945422,0.24940450108744586,0.6847396985860512,1.0,0.0,0.0,1.0,0.0,0.0
456,1.2629260946537555,2.7605708420835,1.6498319254185025,1.4567375397096347,0.2631926761665513,0.5465265191398471,0.44356388527207946,-0.37502002876513624,0.24940450108744586,1.600479782103343,0.0,1.0,0.0,0.0,1.0,0.0
713,-0.881644773689949,0.6525619260557006,0.49333610000599165,-0.9702654227341477,0.2631926761665513,0.5940059056791136,-0.5516537473591837,0.7309960716945422,0.24940450108744586,0.39446737022585343,0.0,1.0,1.0,0.0,0.0,0.0
212,0.6030581351633849,-0.7220034985074381,-1.511256664042362,-0.026430937339343444,1.6838215984596405,-1.0519461610154566,0.11182467439499223,0.7309960716945422,1.6040836256991122,0.10246723038732142,1.0,0.0,1.0,0.0,0.0,0.0
79,-0.5517107939447636,-0.5322314063102881,-1.1257580555715243,-1.1050989206476913,1.8022073419840645,-1.3368224802510547,0.11182467439499223,1.8370121721542205,1.6040836256991122,0.09210036151731396,1.0,0.0,0.0,1.0,0.0,0.0
148,-1.2940622483714306,0.5653693431543073,0.5704358217001592,-0.8354319248206042,-1.6605756561053409,0.673138216577891,0.7753030961491675,-0.37502002876513624,-1.1052746235242203,0.25278682900242344,0.0,1.0,0.0,0.0,1.0,0.0
306,0.5205746402270885,0.4781767602529148,-0.8944588904890218,-0.9702654227341477,-0.35833247733667584,0.7839234518361793,-0.717523352797727,0.7309960716945422,0.24940450108744586,1.2462784290447675,0.0,1.0,1.0,0.0,0.0,0.0
477,1.0154756098448665,-0.30142751039483573,-1.1257580555715243,0.378069556401287,-1.1870326820076442,0.9896674601730006,-0.5516537473591837,-0.37502002876513624,-1.1052746235242203,0.40310642761752613,1.0,0.0,0.0,1.0,0.0,0.0
866,-0.5517107939447636,-0.7938091550144676,-1.2028577772656919,1.3219040417960912,1.1510857525997316,-1.4792606398688544,0.11182467439499223,0.7309960716945422,1.6040836256991122,-0.21199445866955968,1.0,0.0,0.0,1.0,0.0,0.0
