,target
967,168
365,167
559,154
33,157
31,127
870,132
192,130
312,146
483,149
551,137
557,128
635,132
109,149
408,169
77,128
928,165
541,137
82,127
361,134
793,166
506,155
789,129
499,153
398,150
2,122
101,144
363,127
450,130
286,152
208,158
265,165
5,156
54,125
670,136
847,163
762,132
971,146
97,168
588,153
204,130
244,144
774,140
933,148
518,128
334,159
844,127
25,169
84,133
519,125
650,132
448,155
357,141
629,152
528,156
467,162
247,125
118,168
342,129
787,120
250,147
318,146
497,128
196,150
587,150
81,141
352,156
602,135
239,156
689,129
211,136
822,127
549,144
898,135
227,158
832,128
751,145
896,166
892,136
380,126
903,127
296,148
344,125
7,141
155,126
525,124
753,144
451,143
836,156
757,161
684,142
432,121
935,144
908,133
388,143
514,131
583,168
926,134
850,166
423,157
228,138
456,132
713,138
212,140
79,135
148,162
306,141
477,129
866,167
899,121
909,135
534,141
590,148
411,134
0,157
531,156
321,122
516,162
523,126
596,145
172,143
125,125
370,120
634,120
877,132
90,159
913,152
181,142
274,141
869,161
69,162
131,136
300,122
394,157
326,167
144,127
904,122
135,140
381,130
164,126
28,136
611,137
193,150
673,167
620,134
169,126
457,143
140,138
173,130
6,169
652,130
447,133
73,125
664,132
890,151
238,168
145,167
885,152
234,121
220,121
465,130
628,167
132,159
963,160
672,139
185,158
41,136
108,163
567,134
56,162
468,148
429,153
547,123
24,148
959,133
730,161
601,123
675,121
900,136
338,139
51,137
948,124
894,149
615,137
264,136
521,167
746,149
494,158
621,123
18,146
696,121
552,143
952,167
367,125
83,139
61,137
420,162
272,144
285,139
360,144
354,120
694,121
278,125
182,138
368,154
814,159
598,167
223,143
778,160
680,144
644,167
486,161
923,164
841,166
176,154
846,146
677,120
582,128
500,165
490,161
163,144
248,137
617,158
970,120
668,149
375,130
412,137
74,139
113,139
802,121
544,143
390,150
104,139
114,137
417,159
442,137
409,169
92,150
548,132
89,130
336,140
961,137
895,132
907,135
589,160
780,121
594,134
94,153
11,152
396,122
910,168
43,128
42,134
329,147
167,148
962,166
851,149
581,153
735,145
100,126
426,124
178,155
444,149
416,121
630,153
857,139
682,128
177,123
395,134
657,150
835,131
934,150
665,169
383,150
930,165
257,120
522,166
335,168
597,155
15,131
3,164
495,126
256,139
529,158
737,167
688,162
842,165
393,121
222,130
179,147
289,136
920,133
324,149
799,136
9,136
249,129
22,161
356,169
221,160
752,141
837,151
956,141
572,160
340,153
431,138
535,127
810,133
622,139
203,123
613,161
93,163
542,162
68,150
605,135
284,158
781,157
434,139
153,164
75,124
711,124
446,143
188,152
271,141
236,123
487,151
117,146
795,133
512,141
570,160
575,142
126,160
116,163
473,147
839,139
57,154
655,151
886,133
369,161
268,156
46,167
349,142
195,132
972,146
811,153
716,130
263,146
443,120
656,154
304,121
341,129
940,139
149,158
124,157
765,121
50,158
353,125
901,151
142,125
